collect_time,station_id,station_name,temperature,humidity
2026-06-18T17:33:51+08:00,tangshan,唐山,23,44
2026-06-18T17:33:52+08:00,tangshan,唐山,23,44
2026-06-18T17:33:54+08:00,tangshan,唐山,23,44
2026-06-18T17:33:55+08:00,tangshan,唐山,23,43
2026-06-18T17:33:56+08:00,tangshan,唐山,23,43
2026-06-18T17:33:58+08:00,tangshan,唐山,23,43
2026-06-18T17:33:59+08:00,tangshan,唐山,23,43
2026-06-18T17:34:00+08:00,tangshan,唐山,23,43
2026-06-18T17:34:01+08:00,tangshan,唐山,23,43
2026-06-18T17:34:03+08:00,tangshan,唐山,23,43
